sha256_hash,file_type,first_seen,tags
ccdb5316112f277ca0b8475884223713ca5afc4f9b729250fa5be07c486822a4,dll,2020-02-27 22:55:59,sodinokibi
94e8fa6dac6e1a9e76dabf84a2478626eb9cba660c3a9dbe525caa7271fcdef6,exe,2020-02-27 20:06:24,njrat
a2f3108c3c2c32f1b9ae75f694d1ee15a2647b2ce3d65f6df9bccaf426fb7af1,exe,2020-02-27 17:27:52,njrat
d7aadffd168139ae09e073e9154a8fa6a6b6be547d3beae1e157adeb1bad2c07,exe,2020-02-27 22:26:04,njrat
7b864591a77a15197d9f25ed3e625b50576ffc061f2849ac6fcc245d296b7357,exe,2020-02-27 20:27:15,njrat
fa3981228b5b124a8b51fa64f8b6d5d05899165647dc50322b717d7ab63d4997,exe,2020-02-28 01:48:59,darkcomet
b603ac369d000ccf2c33d13a62af4e02a41ee021ff787427505b83a86460c047,exe,2020-02-28 03:52:30,nanocore
548c48b438d61c6b9cdc1c0c6ef46622c4469405dc7bb677f366dbd1bdb15fc9,exe,2020-02-28 03:07:23,njrat
931238083c5373a7b48f5d06916e4832af77af36a0b6569f9750511d509dc490,exe,2020-02-28 02:32:56,njrat
ddf42fa0c0c9f5e7c33dfe7cc6743f812b796b53c759e6e19ec18daa6b98364e,exe,2020-02-25 12:32:53,exe Loki
0f268e9be95d203c8d5cfa33d50ad7f623f13746bd97ec24703959dc08d97a9b,exe,2020-02-27 20:47:38,asyncrat
8a0a78df298dc039aca3ead63d2f293d980c69ba9db23d5c2f2a9b37ce33b539,exe,2020-02-27 14:32:40,njrat
58f1865d2fb00775add6c9d34aa504118bc962e08fba8fb79b288515320ef933,exe,2020-02-28 06:20:13,revengerat
2a28f11ca820bd0bde24d41cb5307c8f2fa70174536ac13a99923ba70015b36f,dll,2020-02-27 14:46:23,sodinokibi
7b8a4cc371405cd7ac06a63adee7e9500a814d78faef3bdba16b6b2d7b49b198,dll,2020-02-28 12:19:38,sodinokibi
c52ab8a1946d9658e5c274c1e51932fc643f96521e6d399ba77a2222af822476,exe,2020-02-27 21:26:14,njrat
275e4633982c0b779c6dcc0a3dab4b2742ec05bc1a3364c64745cbfe74302c06,exe,2020-02-25 17:42:19,revengerat
c4e48bc0716a6eafda6fc596fc5a38a201071d76551ebb14921c6b38adf8deba,exe,2020-02-27 21:17:24,nanocore
38451f9cee47daf6fa98fee356ebf5a18194c5c5fa4d2ffc69af515a60de5e8c,exe,2020-02-27 14:11:37,njrat
845f3f7d59365c2cc41ef827fa7c9e146f7746dc0720937c7bd29049e42d81f2,exe,2020-02-27 22:39:16,njrat
758c2192e60534c48145e7704dc3d810b8de899bb36a756fdfa1d34c5971ff45,exe,2020-02-27 21:32:12,asyncrat
e54384fe872d30bf574d7b80311ce1c6d9f86a8db7b6e47cbd03069eea1bdd61,exe,2020-02-25 18:13:49,revengerat
3690d1d02801a5cb5fbfe075853eb580648c681cf8fe11f9d3e77239ae1c617a,exe,2020-02-28 07:22:58,discordpws
23fc02f1e3783ac574850e9f210b8fb54e2a3dd589ed4b0399157e1708457ed1,exe,2020-02-28 02:58:26,revengerat
c935473ffba371fdc0afc552e5d4d71c3e1400d7d07316262bcbbb93b6668b77,exe,2020-02-27 18:22:44,njrat
31f24a687e78048dd69114d16e9fb8d4dac18f64bf355c07f02c5613a0276efe,exe,2020-02-26 17:12:30,njrat
72fd107044ae159a7a80813fe902a132f12eedd01c63fd9e506cf05e088e7491,exe,2020-02-27 19:14:32,njrat
bb42676345c8aed263ed1e32c7ce22c5e6a9838a92c21d376e39356db0dbd940,exe,2020-02-27 14:22:53,njrat
253d2bc02e9a0b835ce9c7bf6f05bc9fa33bc60ddfb71f1da3de26befa103894,exe,2020-02-27 20:34:54,njrat
5cb1c07a56ce3bd1a4b3828f508c5aaba1aebd1dab0bd9566f41603481827876,exe,2020-02-27 22:56:09,njrat
1f2ae650fdefb75fd7775dd7ad86aa81ca7d19595f58b4a07b32a6502079d815,exe,2020-02-27 14:39:11,njrat
6e3f2ebb560fede5fca72650a4f495d1038930a3a7c0bebbd032be0a79e1f2b2,exe,2020-02-27 14:55:57,njrat
daa26a415b2fce72a81bb0d76b5e7552cc4e41707bb2e8fd9cfb77da5e14a066,dll,2020-02-28 04:49:45,sodinokibi
a0d362e2231e016ca7a5c976dd1ff93c24477215bb89c0278ad2e375195dd448,exe,2020-02-27 22:42:36,njrat
b7ae1fa5ac7ee65dffd93e9defd51b2e39a1030620560fe9eff51315e75c8885,dll,2020-02-27 20:22:05,sodinokibi
e513eb020887dd56e85e55803b1afccb24ae116380947993da2e88a71e97be14,exe,2020-02-27 14:29:01,ImminentRAT limerat
a26b3e551732d7ef9c649bd713bb22210d3123ba081df325bc534c9c740def1e,exe,2020-02-28 00:25:36,revengerat
3ac39ece6e1953f03e88fdfb942bf9f0dcb8d1da643cbd9677032f2ac7861d03,exe,2020-02-28 02:53:44,revengerat
d80a899843845ba8ed8077d40e6d7c6935e407ece04463d9092f75ee34e6ecc0,exe,2020-02-27 19:08:17,njrat
5be5dbcf6753c5607b5c95bf93e71f1d71fcb2c6ff691f949e237bc6df77a34a,exe,2020-02-27 16:31:26,asyncrat
30ef3d46a266114674f601d9d03f85029ec54821f104b9e86903113d47914b6f,exe,2020-02-27 14:58:31,revengerat
4d4fe010edd8e5cb0a3dbe463a9bea549aaee512737ac1a8e1b81c2b1100d1fa,exe,2020-02-27 15:29:47,njrat
6bc82b5b3a1161abc9ef0b67d69e09ef009fed1ab438fb9e5f3e1ac40290ed78,exe,2020-02-27 15:56:18,asyncrat
dff69a4857e56c6c013e1959908154884ed9653414ba1f6d1720f8b1f1af1f8a,exe,2020-02-27 15:29:10,quasarrat
a2f4d3da25e52d88eafb7a7da242e9bb507fe4626af58ca3b8c1a13e391c2000,exe,2020-02-28 04:49:23,darkcomet
0e7c56b00281e18e385042a28f0e6202fbe39f3cdb219d17489799fca09b6550,exe,2020-02-27 20:48:32,asyncrat
e78c4aabbfa59e6199deb608bd39eba890bf04dfd59a77b9c99589f668d04268,exe,2020-02-27 23:27:45,njrat
0a276fdaf3367ca3fd4cf90eb338dd3d0575ba3979f1bd609ce58e13e2aa0a8e,exe,2020-02-28 03:02:09,asyncrat
9fe0df51775c3935b1f385a5b924bd53218f0711378cbed62da01e96cae89fc6,exe,2020-02-27 22:28:52,njrat
ec3c8bb69881ff50e0b35fe6b54c42f34d3f2d116cecd82ab7336984bdf4ef41,exe,2020-02-28 06:09:55,njrat
9b471c2935fdd01c7e9d57e78f91d213e6d1b5a44ac1719048d92d02d1976422,exe,2020-02-28 09:24:26,asyncrat
35e54a27e5315bc5b1f0069b44e1f94a4624107ec2015c1d820bb4f2c4ae8225,exe,2020-02-28 02:50:53,njrat
eb39aa174e5a1bead3c5c6d6003022cdbc309d09820024b7cde7afc1347e7b9e,exe,2020-02-26 12:35:50,njrat
e0287568096f94034a8746adef8f4c08db4ef5f51134f90740b1c72eb1b1eb0b,exe,2020-02-27 19:11:17,revengerat
9c4a7e8094a3602e3b8bc976a88759f9e805b904b8f394dfa39a9121167abff4,exe,2020-02-28 07:19:09,njrat
ae9ba2145b99bca3d87d444a47246a5bcd426993c74733faf4892d20e195d6b0,exe,2020-02-27 20:18:40,njrat
87b0a6a233ea403868b58ac1960ad6799785a06b684c38e5517a9254a544145a,exe,2020-02-27 22:33:46,njrat
329b0bbd1b23398088454dbfaaaa99ab94338ead9fac8fff6018e33f63fe7690,exe,2020-02-27 16:03:46,remcos RemcosRAT
6ec3febd674513a33ed7c68a64fd8b02b0436a96f79b69821faad1334025937d,exe,2020-02-27 16:43:02,njrat
42996516b6604ba136ff909d9b59d2a676a72eaafa30c729cdfaddd96b20fc83,dll,2020-02-28 08:15:27,sodinokibi
8b635dcdeacc541a398e5862d13ea54004302b8c06b63a2db0ddc7c6528e804f,exe,2020-02-27 16:41:09,njrat
6142acc1a46f79c83a1f331b2b0abf1bc675837e8a26c1004b19b4131d980556,exe,2020-02-28 04:58:38,njrat
d163a0c4e233656f8162b5c5ed558ad18f18a969a28e7ee34de704b69069d30e,exe,2020-02-28 02:49:49,njrat
afc68f8b78045786888471eb198cccacfff9fb5b6e39f7ca585222d60d52ff9d,exe,2020-02-28 02:39:42,njrat
ef377079bcd6215f07aaba72c74c17a33cf2e5eb3eeed538fc2d0084670295d2,exe,2020-02-28 07:42:38,antilam
cc559587825877b40a955baeea22039cbc35813ee00e139fa6a3c90b7355283a,exe,2020-02-28 07:55:11,nanocore
353ddd0a20aa154923d91052d8ef6c94a32fe9cb1293cde6b8d05b032a79237d,dll,2020-02-28 00:08:28,sodinokibi
5a810a0b7402b9023f8c5016d0341a5070ef1ce52f0b124b6ced8a3846e54c83,exe,2020-02-27 19:36:52,revengerat
910489e9cbb9be62a2ee6100e09d0d6006fe21cbd73d5b7085f1b69f292cf006,dll,2020-02-27 15:57:32,sodinokibi
78364eb0cc0cf381b000b9ae8f942bb4c94f342ba10827d7e7e4dd8ae3d140ff,exe,2020-02-28 05:04:31,njrat
d8e091f7e30656be6ba24890a96982b3a9def6123597c0b5ea740f8560ce45c1,exe,2020-02-28 02:02:13,asyncrat
b3a4d7c4c5b4a03a8a11dc9f6bb313a4c6da0040f2e45a48dc76ebc3f12d7842,exe,2020-02-27 20:17:02,njrat
6cf989387bc4334c2b9c9a3d1904c072832486a4e1d27fb7a8400bea73b8fc01,exe,2020-02-28 08:05:26,njrat
