name,url
Comsvcs.h,https://learn.microsoft.com/en-us/windows/win32/api/comsvcs/
Control.h,https://learn.microsoft.com/en-us/windows/win32/api/control/
Corewindow.h,https://learn.microsoft.com/en-us/windows/win32/api/corewindow/
Cpl.h,https://learn.microsoft.com/en-us/windows/win32/api/cpl/
Credentialprovider.h,https://learn.microsoft.com/en-us/windows/win32/api/credentialprovider/
Credssp.h,https://learn.microsoft.com/en-us/windows/win32/api/credssp/
Cryptdlg.h,https://learn.microsoft.com/en-us/windows/win32/api/cryptdlg/
Cryptuiapi.h,https://learn.microsoft.com/en-us/windows/win32/api/cryptuiapi/
Cryptxml.h,https://learn.microsoft.com/en-us/windows/win32/api/cryptxml/
Cscapi.h,https://learn.microsoft.com/en-us/windows/win32/api/cscapi/
Cscobj.h,https://learn.microsoft.com/en-us/windows/win32/api/cscobj/
Ctffunc.h,https://learn.microsoft.com/en-us/windows/win32/api/ctffunc/
Ctfspui.h,https://learn.microsoft.com/en-us/windows/win32/api/ctfspui/
Ctfutb.h,https://learn.microsoft.com/en-us/windows/win32/api/ctfutb/
Ctxtcall.h,https://learn.microsoft.com/en-us/windows/win32/api/ctxtcall/
D2d1.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1/
D2d1_1.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1_1/
D2d1_1helper.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1_1helper/
D2d1_2.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1_2/
D2d1_3.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1_3/
D2d1_3helper.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1_3helper/
D2d1effectauthor.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1effectauthor/
D2d1effectauthor_1.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1effectauthor_1/
D2d1effecthelpers.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1effecthelpers/
D2d1effects.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1effects/
D2d1effects_1.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1effects_1/
D2d1effects_2.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1effects_2/
D2d1helper.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1helper/
D2d1svg.h,https://learn.microsoft.com/en-us/windows/win32/api/d2d1svg/
D3d10.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d10/
D3d10_1.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d10_1/
D3d10_1shader.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d10_1shader/
D3d10effect.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d10effect/
D3d10misc.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d10misc/
D3d10sdklayers.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d10sdklayers/
D3d10shader.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d10shader/
D3d11.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11/
D3d11_1.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11_1/
D3d11_2.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11_2/
D3d11_3.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11_3/
D3d11_4.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11_4/
D3d11on12.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11on12/
D3d11sdklayers.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11sdklayers/
D3d11shader.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11shader/
D3d11shadertracing.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d11shadertracing/
D3d12.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d12/
D3d12sdklayers.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d12sdklayers/
D3d12shader.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d12shader/
D3d12video.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d12video/
D3d9.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d9/
D3d9caps.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d9caps/
D3d9helper.h,https://learn.microsoft.com/en-us/windows/win32/api/d3d9helper/
D3dcommon.h,https://learn.microsoft.com/en-us/windows/win32/api/d3dcommon/
D3dcompiler.h,https://learn.microsoft.com/en-us/windows/win32/api/d3dcompiler/
D3dcsx.h,https://learn.microsoft.com/en-us/windows/win32/api/d3dcsx/
Datetimeapi.h,https://learn.microsoft.com/en-us/windows/win32/api/datetimeapi/
Davclnt.h,https://learn.microsoft.com/en-us/windows/win32/api/davclnt/
Dbghelp.h,https://learn.microsoft.com/en-us/windows/win32/api/dbghelp/
Dbt.h,https://learn.microsoft.com/en-us/windows/win32/api/dbt/
Dciman.h,https://learn.microsoft.com/en-us/windows/win32/api/dciman/
Dcommon.h,https://learn.microsoft.com/en-us/windows/win32/api/dcommon/
Dcomp.h,https://learn.microsoft.com/en-us/windows/win32/api/dcomp/
Dcompanimation.h,https://learn.microsoft.com/en-us/windows/win32/api/dcompanimation/
Dcomptypes.h,https://learn.microsoft.com/en-us/windows/win32/api/dcomptypes/
Dde.h,https://learn.microsoft.com/en-us/windows/win32/api/dde/
Ddeml.h,https://learn.microsoft.com/en-us/windows/win32/api/ddeml/
Ddkernel.h,https://learn.microsoft.com/en-us/windows/win32/api/ddkernel/
Ddkmapi.h,https://learn.microsoft.com/en-us/windows/win32/api/ddkmapi/
Ddpbackup.h,https://learn.microsoft.com/en-us/windows/win32/api/ddpbackup/
Ddraw.h,https://learn.microsoft.com/en-us/windows/win32/api/ddraw/
Ddrawgdi.h,https://learn.microsoft.com/en-us/windows/win32/api/ddrawgdi/
Ddrawi.h,https://learn.microsoft.com/en-us/windows/win32/api/ddrawi/
Ddrawint.h,https://learn.microsoft.com/en-us/windows/win32/api/ddrawint/
Ddstream.h,https://learn.microsoft.com/en-us/windows/win32/api/ddstream/
Debugapi.h,https://learn.microsoft.com/en-us/windows/win32/api/debugapi/
Deliveryoptimization.h,https://learn.microsoft.com/en-us/windows/win32/api/deliveryoptimization/
